Step,Tool,Category,Subcategory,Website,Summary,Pros,Cons,Usual Customer Stage,Founded,Last Funding Round,Comp. Svc. Pkg. (1-3),Ease of Use (1-3),Affordability (1-3),Customer Support (1-3),Speed of Setup (1-3),Customization (1-3),Range of Services (1-3),Integration (1-3),Pro. Assistance (1-3),Reputation (1-3),Reasoning: Comp. Svc. Pkg.,Reasoning: Ease of Use,Reasoning: Affordability,Reasoning: Customer Support,Reasoning: Speed of Setup,Reasoning: Customization,Reasoning: Range of Services,Reasoning: Integration,Reasoning: Pro. Assistance,Reasoning: Reputation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Fastmail,Email Services,Email Hosting,fastmail.com,Private and secure email service with custom domains.,"Strong focus on privacy, good customer support, no ads.","Limited storage on basic plan, fewer features than some competitors.",Privacy-conscious startups and small businesses,1999,N/A (Privately Held),2,2,2,3,2,1,2,2,1,3,"Primarily focused on secure email, good for privacy-conscious users.","Interface is user-friendly, but not as feature-rich as some competitors.","Affordable pricing, especially for privacy-focused service.",Good customer support via email and chat.,Setup is straightforward and quick.,Limited customization options.,"Primarily focused on secure email, limited additional features.",Limited integration options with other tools.,No dedicated professional assistance.,Reputable provider known for privacy and security.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Google Workspace,Productivity & Collaboration,Business Email,workspace.google.com,"Google's suite of productivity and collaboration tools, includes Gmail with custom domain.","Integrates seamlessly with Google services, collaboration features, cloud storage, large storage options.","More expensive than basic Gmail, requires subscription.",Early-stage to Enterprise,2006,"IPO (2004, as Google)",3,3,2,3,3,2,3,3,1,3,"Comprehensive suite of productivity tools (Gmail, Docs, Drive, Meet, etc.).","Very user-friendly interface, familiar to most.","Free trial available, but paid plans for businesses can be costly.",Extensive online resources and community support.,Setup is quick and easy with clear instructions.,"Basic customization options for themes and settings, some admin controls.",Offers a wide range of productivity and collaboration tools in addition to email.,Excellent integration with other Google products and third-party apps.,"No dedicated professional assistance, but online resources are available.",Widely used and trusted email provider for businesses.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Intermedia,Email Services,Email Hosting,intermedia.com,"Business email and collaboration tools, includes custom domains.","Comprehensive features, integrates with Office and other tools.","More expensive, can be complex for small businesses.",Growing to established businesses,1995,N/A (Privately Held),3,2,1,3,2,2,3,3,2,3,"Offers email hosting, collaboration tools, and security features.","Interface is functional, but can be complex for new users.","Pricing is higher than other options, especially for larger teams.","24/7 support available via phone, chat, and email.","Setup can be moderately complex, may require some technical knowledge.","Customizable options available, but not as flexible as some providers.",Comprehensive email and collaboration tools.,Integrates with Office and other business tools.,Professional assistance available for setup and support.,Reputable provider known for reliable email and collaboration tools.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Microsoft 365,Productivity & Collaboration,Business Email,microsoft.com/microsoft-365,"Subscription service that includes Outlook, Office apps, and cloud storage.","Comprehensive suite of productivity tools, good for collaboration.","More expensive, requires subscription.",Early-stage to Enterprise,1989 (as Office),N/A (Part of Microsoft),3,2,1,3,2,2,3,3,2,3,"Includes Outlook, Word, Excel, PowerPoint, Teams, and cloud storage.","Interface is familiar to Microsoft users, but can be cluttered.","More expensive than Google Workspace, especially for larger teams.","Microsoft support resources are available, but can be slow to respond.",Setup can be more complex than Google Workspace due to additional features.,"Customizable themes and settings, but limited compared to some providers.",Offers a wide range of productivity and collaboration tools in addition to email.,Excellent integration with other Microsoft products and third-party apps.,Paid support plans available with faster response times and more personalized assistance.,Well-known and trusted email provider.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Namecheap Private Email,Email Services,Email Hosting,namecheap.com/hosting/email,Private email service offered by Namecheap.,"Affordable, easy to set up, integrated with Namecheap domain registration.",Limited storage on basic plan.,Early-stage,2000,N/A (Privately Held),1,3,3,2,3,1,1,1,1,2,Basic email hosting with limited features.,"Very user-friendly, easy to set up and manage.","Affordable plans, especially when bundled with domain registration.","Namecheap support available, but can be slow.",Email setup is straightforward and quick.,Very limited customization options.,"Primarily focused on email hosting, no additional services.",Limited integration with other tools.,No dedicated professional assistance.,Decent reputation as a budget-friendly option.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ProtonMail,Email Services,Email Hosting,protonmail.com,"Secure and private email service, offers paid plans with custom domains.","Strong focus on privacy and security, end-to-end encryption.","Limited storage on free plan, less features than other providers.",Privacy-conscious startups and small businesses,2013,Series B (2020),2,2,2,2,2,1,1,1,1,3,"Primarily focused on secure email, limited additional features.","Clean and simple interface, but some features may be less intuitive.","Free plan is very limited, paid plans are more affordable than some.",Support is primarily through online resources and community forums.,Setup can take a bit longer due to security features.,Limited customization options.,"Primarily focused on secure email, limited additional features.",Limited integration options with other tools.,No dedicated professional assistance.,Strong reputation for privacy and security.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Rackspace Email,Email Services,Email Hosting,rackspace.com/email-hosting,Business email hosting with 24/7 support.,"Reliable, scalable, good for larger teams, includes spam and virus protection.","More expensive, not as user-friendly as some competitors.",Growing to established businesses,1998,N/A (Publicly Traded),2,2,1,3,2,1,2,2,2,3,"Offers email hosting, archiving, and security features.","Interface is functional, but not as intuitive as some.","Pricing is higher than other options, especially for larger teams.","24/7 support available via phone, chat, and email.","Setup can be moderately complex, may require some technical knowledge.",Limited customization options beyond basic branding.,Primarily focused on email hosting and related services.,Some integration options with other email clients.,24/7 support available for technical assistance.,Reputable provider known for reliable email hosting.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Tutanota,Email Services,Email Hosting,tutanota.com,Secure and open-source email service with paid plans for custom domains.,"High privacy standards, open-source, ad-free.","Less user-friendly, limited features compared to other providers.",Privacy-conscious startups and small businesses,2011,N/A (Privately Held),2,1,2,2,2,1,1,1,1,2,Primarily focused on secure email with calendar and contact features.,"Interface is basic, less intuitive than some competitors.","Free plan is limited, paid plans are affordable.",Support is primarily through online resources and community forums.,Setup can be a bit complex for non-technical users.,Limited customization options.,Primarily focused on secure email.,Limited integration options with other tools.,No dedicated professional assistance.,Growing reputation for privacy and security focus.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Zoho Mail,Email Services,Email Hosting,zoho.com/mail,"Email service with business features, free plan for small teams.","Affordable, includes other business tools, good for collaboration.","Less known than Gmail or Outlook, some features can be clunky.",Early-stage to Growing,1996,N/A (Privately Held),3,2,3,3,2,2,3,2,1,2,"Offers email, calendar, contacts, tasks, notes, and other Zoho tools.","Interface is functional, but not as sleek as some competitors.","Free plan for small teams, affordable paid plans with more features.","Support options available, but response times can vary.",Setup can take longer due to additional features.,"Customizable themes and settings, but limited compared to some providers.",Offers a wide range of business tools in addition to email.,"Integrates with other Zoho products, but not as extensive as Google or Microsoft.","No dedicated professional assistance, but online resources are available.",Growing reputation as a provider of affordable business software.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Zoho Workplace,Productivity & Collaboration,Business Email,zoho.com/mail,"Professional email suite with online office suite, calendar, contacts, and tasks.","Affordable, includes other business tools, good for collaboration.","Less known than Gmail or Outlook, some features can be clunky.",Early-stage to Growing,1996,N/A (Privately Held),3,2,3,3,2,2,3,2,1,2,"Offers email, calendar, contacts, tasks, notes, and other Zoho tools.","Interface is functional, but not as sleek as some competitors.","Free plan for small teams, affordable paid plans with more features.","Support options available, but response times can vary.",Setup can take longer due to additional features.,"Customizable themes and settings, but limited compared to some providers.",Offers a wide range of business tools in addition to email.,"Integrates with other Zoho products, but not as extensive as Google or Microsoft.","No dedicated professional assistance, but online resources are available.",Growing reputation as a provider of affordable business software.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Harvard Business Services,Legal Services,Business Formation,delawareinc.com,Business formation and registered agent service with a focus on Delaware.,"Delaware-focused, user-friendly, includes registered agent service for a year.","Limited additional services, fewer integrations compared to competitors.",Pre-seed to Seed,1981,N/A (Privately Held),2,3,3,2,3,1,1,1,1,2,"Offers incorporation, registered agent, basic legal documents.",Simple and easy-to-use interface for filing.,"Very affordable, offers packages with additional services.","Email and phone support, but response times can vary.",Fast turnaround times for filings.,Limited customization options for filings.,Primarily focused on business formation and compliance.,Limited integration options with other tools.,"No direct attorney assistance, but can connect you with one.",Reputable provider with a focus on affordability.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Inc Authority,Legal Services,Business Formation,incauthority.com,Online business formation service with free incorporation option.,"Free incorporation service, includes registered agent service for a year.","Limited additional services, fewer integrations compared to competitors.",Pre-seed to Seed,1989,N/A (Privately Held),2,3,3,2,3,1,1,1,1,2,Offers free incorporation service with paid packages for additional services.,Simple and easy-to-use interface for filing.,"Very affordable, especially for startups on a budget.","Email and phone support, but response times can vary.",Fast turnaround times for filings.,Limited customization options for filings.,Primarily focused on business formation and compliance.,Limited integration options with other tools.,"No direct attorney assistance, but can connect you with one.",Reputable provider with a focus on affordability.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Incfile,Legal Services,Business Formation,incfile.com,Online legal services platform specializing in business formation and compliance.,"Affordable pricing, includes registered agent service for a year, user-friendly.","Limited customer support, fewer additional services compared to competitors.",Pre-seed to Seed,2004,N/A (Privately Held),2,3,3,2,3,1,1,1,1,2,"Offers incorporation, registered agent, basic legal documents.",Simple and easy-to-use interface for filing.,"Very affordable, offers packages with additional services.","Email and phone support, but response times can vary.",Fast turnaround times for filings.,Limited customization options for filings.,Primarily focused on business formation and compliance.,Limited integration options with other tools.,"No direct attorney assistance, but can connect you with one.",Reputable provider with a focus on affordability.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,LegalZoom,Legal Services,Business Formation,legalzoom.com,"Online legal services platform for business formation, legal documents, etc.","Wide range of services, user-friendly interface, helpful resources.","Can be more expensive than DIY options, limited customization for complex needs.",Pre-seed to Series A,1999,IPO (2021),3,3,2,3,2,2,3,2,2,3,"Offers incorporation, registered agent, legal documents, trademarks, etc.",Intuitive interface guides users through the process.,"Higher prices than basic filing services, but good value for the range of services.",Offers attorney consultations and customer support.,Filing can take a few weeks depending on the state.,"Customizable templates for basic documents, but limited for complex needs.",Wide range of legal and business services.,Integrates with some accounting and payroll software.,Offers attorney consultations at an additional cost.,Well-established and trusted brand in online legal services.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MyCorporation,Legal Services,Business Formation,mycorporation.com,Online business formation service with a focus on compliance.,"Compliance-focused, user-friendly, includes registered agent service for a year.","Limited customer support, fewer additional services compared to competitors.",Pre-seed to Seed,1998,N/A (Privately Held),2,3,3,2,3,1,1,1,1,2,"Offers incorporation, registered agent, basic legal documents.",Simple and easy-to-use interface for filing.,"Very affordable, offers packages with additional services.","Email and phone support, but response times can vary.",Fast turnaround times for filings.,Limited customization options for filings.,Primarily focused on business formation and compliance.,Limited integration options with other tools.,"No direct attorney assistance, but can connect you with one.",Reputable provider with a focus on affordability.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Northwest Registered Agent,Legal Services,Business Formation,northwestregisteredagent.com,Business formation and registered agent service with a focus on privacy.,"Focus on privacy, user-friendly, includes registered agent service for a year.","Limited additional services, fewer integrations compared to competitors.",Pre-seed to Seed,1998,N/A (Privately Held),2,3,3,2,3,1,1,1,1,2,"Offers incorporation, registered agent, basic legal documents.",Simple and easy-to-use interface for filing.,"Very affordable, offers packages with additional services.","Email and phone support, but response times can vary.",Fast turnaround times for filings.,Limited customization options for filings.,Primarily focused on business formation and compliance.,Limited integration options with other tools.,"No direct attorney assistance, but can connect you with one.",Reputable provider with a focus on affordability.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Rocket Lawyer,Legal Services,Business Formation,rocketlawyer.com,"Online legal services platform offering legal documents, consultations, and registered agent services.","Affordable, DIY options, access to on-demand attorney advice.","Limited document library compared to some competitors, may not be suitable for complex legal matters.",Pre-seed to Series A,2008,Series E (2016),2,3,3,3,2,2,2,1,3,3,"Offers incorporation, legal documents, attorney consultations.",User-friendly interface with document templates and Q&A guidance.,Subscription-based model with affordable monthly fees.,Access to attorney advice via phone or chat.,"Filing speed depends on state, but document creation is fast.","Customizable document templates, but less flexibility than with an attorney.",Primarily focused on legal documents and consultations.,Limited integration with other business tools.,On-demand attorney advice included in the subscription.,Reputable provider with a strong focus on affordability.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Stripe Atlas,Legal Services,Business Formation,stripe.com/atlas,"All-in-one platform for incorporating in the US, opening bank accounts, and accepting payments online.","Streamlined process, international founder-friendly, integrated with Stripe payments.","More expensive than some DIY options, limited to US incorporation.",Pre-seed to Seed,2016,N/A (Part of Stripe),3,3,2,3,3,1,2,3,2,3,"Offers incorporation, banking, and payment processing in one.",User-friendly interface guides founders through the process.,"Higher cost than DIY options, but includes valuable services.",Excellent customer support via email and online resources.,Expedited filing options available for faster setup.,Limited customization beyond basic company information.,Covers essential startup needs beyond just incorporation.,Seamless integration with Stripe payment processing.,"Access to legal and tax resources, but not direct attorney advice.","Backed by Stripe, a reputable payment processor.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Swyft Filings,Legal Services,Business Formation,swyftfilings.com,Online business formation service with fast turnaround times.,"Fast filing, user-friendly, affordable pricing.",Fewer additional services compared to LegalZoom or Rocket Lawyer.,Pre-seed to Seed,2012,N/A (Privately Held),2,3,3,2,3,1,1,1,1,2,"Focuses on business formation, offers registered agent services.",Simple and straightforward interface for filing.,Competitive pricing for basic formation packages.,"Email and phone support, but not as comprehensive as others.",Expedited filing options available.,Limited customization options for filings.,Primarily focused on business formation.,Limited integration options with other tools.,"No direct attorney assistance, but can connect you with one.",Growing reputation for fast and affordable filings.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
